id;webTitle;type;sectionId;sectionName;webPublicationDate;webUrl;apiUrl;source
business/live/2019/may/31/markets-trump-shock-mexico-tariffs-trade-war-china-brexit-ftse-100-business-live;Markets shaken as Trump announces shock Mexico tariffs – as it happened;liveblog;business;Business;31/05/2019;https://www.theguardian.com/business/live/2019/may/31/markets-trump-shock-mexico-tariffs-trade-war-china-brexit-ftse-100-business-live;https://content.guardianapis.com/business/live/2019/may/31/markets-trump-shock-mexico-tariffs-trade-war-china-brexit-ftse-100-business-live;The Guardian
business/live/2019/may/30/china-us-naked-economic-terrorism-trade-war-brexit-gdp-sterling-ftse-business-live;China accuses US of 'naked economic terrorism' in trade dispute – as it happened;liveblog;business;Business;30/05/2019;https://www.theguardian.com/business/live/2019/may/30/china-us-naked-economic-terrorism-trade-war-brexit-gdp-sterling-ftse-business-live;https://content.guardianapis.com/business/live/2019/may/30/china-us-naked-economic-terrorism-trade-war-brexit-gdp-sterling-ftse-business-live;The Guardian
world/2019/may/30/china-tells-us-provoking-trade-disputes-is-naked-economic-terrorism;China tells US provoking trade disputes is 'naked economic terrorism';article;world;World news;30/05/2019;https://www.theguardian.com/world/2019/may/30/china-tells-us-provoking-trade-disputes-is-naked-economic-terrorism;https://content.guardianapis.com/world/2019/may/30/china-tells-us-provoking-trade-disputes-is-naked-economic-terrorism;The Guardian
business/live/2019/may/24/trade-war-trump-huawei-us-china-deal-retail-sales-business-live;Pound volatile  as no-deal Brexit risks rise - as it happened;liveblog;business;Business;24/05/2019;https://www.theguardian.com/business/live/2019/may/24/trade-war-trump-huawei-us-china-deal-retail-sales-business-live;https://content.guardianapis.com/business/live/2019/may/24/trade-war-trump-huawei-us-china-deal-retail-sales-business-live;The Guardian
business/2019/may/23/global-markets-rocked-as-us-china-trade-and-tech-rift-deepens;Global markets rocked as US-China trade and tech rift deepens;article;business;Business;24/05/2019;https://www.theguardian.com/business/2019/may/23/global-markets-rocked-as-us-china-trade-and-tech-rift-deepens;https://content.guardianapis.com/business/2019/may/23/global-markets-rocked-as-us-china-trade-and-tech-rift-deepens;The Guardian
business/live/2019/may/23/trade-war-china-us-fight-panasonic-huawei-business-live;Wall Street joins market selloff as trade war hits US economy - as it happened;liveblog;business;Business;23/05/2019;https://www.theguardian.com/business/live/2019/may/23/trade-war-china-us-fight-panasonic-huawei-business-live;https://content.guardianapis.com/business/live/2019/may/23/trade-war-china-us-fight-panasonic-huawei-business-live;The Guardian
world/2019/may/23/fight-to-end-china-media-ramps-up-rhetoric-us-trade-war;'We'll fight to the end': China's media ramps up rhetoric in US trade war;article;world;World news;23/05/2019;https://www.theguardian.com/world/2019/may/23/fight-to-end-china-media-ramps-up-rhetoric-us-trade-war;https://content.guardianapis.com/world/2019/may/23/fight-to-end-china-media-ramps-up-rhetoric-us-trade-war;The Guardian
technology/2019/may/23/huawei-markets-slide-as-panasonic-joins-list-of-firms-cut-ties;Markets slide as Panasonic joins list of firms walking away from Huawei;article;technology;Technology;23/05/2019;https://www.theguardian.com/technology/2019/may/23/huawei-markets-slide-as-panasonic-joins-list-of-firms-cut-ties;https://content.guardianapis.com/technology/2019/may/23/huawei-markets-slide-as-panasonic-joins-list-of-firms-cut-ties;The Guardian
business/live/2019/may/22/trade-war-china-us-blacklist-uk-inflation-public-finances-british-steel-business-live;Pound hits lowest level since early January as Brexit crisis rages - as it happened;liveblog;business;Business;22/05/2019;https://www.theguardian.com/business/live/2019/may/22/trade-war-china-us-blacklist-uk-inflation-public-finances-british-steel-business-live;https://content.guardianapis.com/business/live/2019/may/22/trade-war-china-us-blacklist-uk-inflation-public-finances-british-steel-business-live;The Guardian
business/2019/may/22/ee-drops-huawei-phones-from-5g-network-launch-lineup;EE and Vodafone drop Huawei phones from 5G network launch;article;technology;Technology;22/05/2019;https://www.theguardian.com/business/2019/may/22/ee-drops-huawei-phones-from-5g-network-launch-lineup;https://content.guardianapis.com/business/2019/may/22/ee-drops-huawei-phones-from-5g-network-launch-lineup;The Guardian
world/2019/may/22/us-may-blacklist-chinese-surveillance-kit-firm-hikvision-reports;US 'could blacklist' Chinese surveillance kit firm Hikvision;article;world;World news;22/05/2019;https://www.theguardian.com/world/2019/may/22/us-may-blacklist-chinese-surveillance-kit-firm-hikvision-reports;https://content.guardianapis.com/world/2019/may/22/us-may-blacklist-chinese-surveillance-kit-firm-hikvision-reports;The Guardian
business/live/2019/may/21/trade-war-markets-huawei-oecd-donald-trump-business-live;"UK factories hit by falling orders; Jamie Oliver restaurant crisis - as it happened";liveblog;business;Business;21/05/2019;https://www.theguardian.com/business/live/2019/may/21/trade-war-markets-huawei-oecd-donald-trump-business-live;https://content.guardianapis.com/business/live/2019/may/21/trade-war-markets-huawei-oecd-donald-trump-business-live;The Guardian
technology/2019/may/21/honor-20-launch-huawei-quad-camera-phone;Honor 20: Huawei Android phone launch defies Donald Trump;article;technology;Technology;21/05/2019;https://www.theguardian.com/technology/2019/may/21/honor-20-launch-huawei-quad-camera-phone;https://content.guardianapis.com/technology/2019/may/21/honor-20-launch-huawei-quad-camera-phone;The Guardian
us-news/2019/may/21/us-briefing-trump-blocks-mcgahn-testimony-huawei-and-niki-lauda;US briefing: Trump blocks McGahn testimony, Huawei and Niki Lauda;article;us-news;US news;21/05/2019;https://www.theguardian.com/us-news/2019/may/21/us-briefing-trump-blocks-mcgahn-testimony-huawei-and-niki-lauda;https://content.guardianapis.com/us-news/2019/may/21/us-briefing-trump-blocks-mcgahn-testimony-huawei-and-niki-lauda;The Guardian
business/2019/may/21/huawei-analysis-us-china-trade-skirmishes-obscure-the-start-of-tech-cold-war;US-China trade skirmishes obscure the start of tech cold war;article;business;Business;21/05/2019;https://www.theguardian.com/business/2019/may/21/huawei-analysis-us-china-trade-skirmishes-obscure-the-start-of-tech-cold-war;https://content.guardianapis.com/business/2019/may/21/huawei-analysis-us-china-trade-skirmishes-obscure-the-start-of-tech-cold-war;The Guardian
technology/2019/may/21/there-will-be-conflict-huawei-founder-says-us-underestimates-companys-strength;'There will be conflict': US has underestimated Huawei, says founder;article;technology;Technology;21/05/2019;https://www.theguardian.com/technology/2019/may/21/there-will-be-conflict-huawei-founder-says-us-underestimates-companys-strength;https://content.guardianapis.com/technology/2019/may/21/there-will-be-conflict-huawei-founder-says-us-underestimates-companys-strength;The Guardian
technology/2019/may/20/trump-us-ban-huawei-google-trade-war;US ban on Huawei a ‘cynically timed’ blow in escalating trade war, says firm;article;technology;Technology;21/05/2019;https://www.theguardian.com/technology/2019/may/20/trump-us-ban-huawei-google-trade-war;https://content.guardianapis.com/technology/2019/may/20/trump-us-ban-huawei-google-trade-war;The Guardian
commentisfree/2019/may/20/the-guardian-view-on-google-versus-huawei-no-winners;The Guardian view on Google versus Huawei: no winners | Editorial;article;commentisfree;Opinion;20/05/2019;https://www.theguardian.com/commentisfree/2019/may/20/the-guardian-view-on-google-versus-huawei-no-winners;https://content.guardianapis.com/commentisfree/2019/may/20/the-guardian-view-on-google-versus-huawei-no-winners;The Guardian
business/live/2019/may/20/oil-prices-rise-opec-production-cuts-trump-iran-threats-business-live;US stocks fall as Google block on Huawei adds to trade tensions – as it happened;liveblog;business;Business;20/05/2019;https://www.theguardian.com/business/live/2019/may/20/oil-prices-rise-opec-production-cuts-trump-iran-threats-business-live;https://content.guardianapis.com/business/live/2019/may/20/oil-prices-rise-opec-production-cuts-trump-iran-threats-business-live;The Guardian
technology/2019/may/20/huawei-blockade-do-i-need-to-stop-using-my-android-phone;Huawei blockade: do I need to stop using my Android phone?;article;technology;Technology;20/05/2019;https://www.theguardian.com/technology/2019/may/20/huawei-blockade-do-i-need-to-stop-using-my-android-phone;https://content.guardianapis.com/technology/2019/may/20/huawei-blockade-do-i-need-to-stop-using-my-android-phone;The Guardian
commentisfree/2019/may/20/google-huawei-ban-tech-giants-donald-trump-blacklist;Google’s Huawei ban is good news: tech giants shouldn’t always get their way | Simon Jenkins;article;commentisfree;Opinion;20/05/2019;https://www.theguardian.com/commentisfree/2019/may/20/google-huawei-ban-tech-giants-donald-trump-blacklist;https://content.guardianapis.com/commentisfree/2019/may/20/google-huawei-ban-tech-giants-donald-trump-blacklist;The Guardian
us-news/2019/may/20/us-briefing-trump-goads-iran-huawei-block-and-game-of-thrones-finale;US briefing: Trump goads Iran, Huawei block and Game of Thrones finale;article;us-news;US news;20/05/2019;https://www.theguardian.com/us-news/2019/may/20/us-briefing-trump-goads-iran-huawei-block-and-game-of-thrones-finale;https://content.guardianapis.com/us-news/2019/may/20/us-briefing-trump-goads-iran-huawei-block-and-game-of-thrones-finale;The Guardian
business/live/2019/may/16/trade-war-markets-huawei-us-blacklist-donald-trump-china-business-live;Trade war: China blasts US over Huawei blacklisting – as it happened;liveblog;business;Business;16/05/2019;https://www.theguardian.com/business/live/2019/may/16/trade-war-markets-huawei-us-blacklist-donald-trump-china-business-live;https://content.guardianapis.com/business/live/2019/may/16/trade-war-markets-huawei-us-blacklist-donald-trump-china-business-live;The Guardian
business/2019/may/16/how-other-countries-are-responding-to-trump-huawei-threat;How other countries are responding to Trump's Huawei threat;article;business;Business;16/05/2019;https://www.theguardian.com/business/2019/may/16/how-other-countries-are-responding-to-trump-huawei-threat;https://content.guardianapis.com/business/2019/may/16/how-other-countries-are-responding-to-trump-huawei-threat;The Guardian
technology/2019/may/16/huawei-poses-security-threat-to-uk-says-former-mi6-chief;Huawei poses security threat to UK, says former MI6 chief;article;technology;Technology;16/05/2019;https://www.theguardian.com/technology/2019/may/16/huawei-poses-security-threat-to-uk-says-former-mi6-chief;https://content.guardianapis.com/technology/2019/may/16/huawei-poses-security-threat-to-uk-says-former-mi6-chief;The Guardian
us-news/2019/may/16/us-briefing-alabama-backlash-huawei-and-camp-fire-investigation;US briefing: Alabama backlash, Huawei and Camp fire investigation;article;us-news;US news;16/05/2019;https://www.theguardian.com/us-news/2019/may/16/us-briefing-alabama-backlash-huawei-and-camp-fire-investigation;https://content.guardianapis.com/us-news/2019/may/16/us-briefing-alabama-backlash-huawei-and-camp-fire-investigation;The Guardian
technology/2019/may/14/huawei-founder-shut-down-china-eavesdrop;Huawei 'prepared to sign no-spy agreement with UK government';article;technology;Technology;14/05/2019;https://www.theguardian.com/technology/2019/may/14/huawei-founder-shut-down-china-eavesdrop;https://content.guardianapis.com/technology/2019/may/14/huawei-founder-shut-down-china-eavesdrop;The Guardian
